23,561a6fc5e2d0,add2q_l,L1: The message is added to the processing queue from the core,0,110,cycle
24,561a6fc5e2d4,add2q_l,L1: The message is added to the processing queue from the core,0,111,cycle
25,561a6fc5e2d8,add2q_l,L1: The message is added to the processing queue from the core,0,112,cycle
26,561a6fc5e2dc,add2q_l,L1: The message is added to the processing queue from the core,0,113,cycle
1d,561a6fc5e2c0,add2q_u,L1 receives message from the bus,a,20f,cycle
1d,561a6fc5e2c0,respond,L1 responds to core,a,20f,cycle
1d,561a6fc5e2c0,updaDat,L1 attempts to update its data array,a,20f,cycle
1d,561a6fc5e2c0,wrCache,L1: New data written to cache,a,20f,cycle
1d,561a6fc5e2c0,respond,L1 responds to core,a,210,cycle
1d,561a6fc5e2c0,add2q_u,L1 receives message from the bus,0,214,cycle
1d,561a6fc5e2c0,respond,L1 responds to core,0,214,cycle
1d,561a6fc5e2c0,updaDat,L1 attempts to update its data array,0,214,cycle
1d,561a6fc5e2c0,wrCache,L1: New data written to cache,0,214,cycle
1e,561a6fc5e2c4,msgProc,L1: message is taken from the L1's processing queue to be processed,0,214,cycle
1e,561a6fc5e2c4,wrCache,L1: New data written to cache,0,ffffffff,cycle
1e,561a6fc5e2c4,wrCache,L1: New data written to cache,a,ffffffff,cycle
1e,561a6fc5e2c4,hitActn,L1: request is a hit,0,fffffffe,cycle
1e,561a6fc5e2c4,hitActn,L1: request is a hit,0,214,cycle
20,561a6fc5e2c8,msgProc,L1: message is taken from the L1's processing queue to be processed,0,214,cycle
20,561a6fc5e2c8,wrCache,L1: New data written to cache,0,ffffffff,cycle
20,561a6fc5e2c8,wrCache,L1: New data written to cache,a,ffffffff,cycle
20,561a6fc5e2c8,hitActn,L1: request is a hit,0,fffffffe,cycle
20,561a6fc5e2c8,hitActn,L1: request is a hit,0,214,cycle
21,561a6fc5e2cc,msgProc,L1: message is taken from the L1's processing queue to be processed,0,214,cycle
21,561a6fc5e2cc,wrCache,L1: New data written to cache,0,ffffffff,cycle
21,561a6fc5e2cc,wrCache,L1: New data written to cache,a,ffffffff,cycle
21,561a6fc5e2cc,hitActn,L1: request is a hit,0,fffffffe,cycle
21,561a6fc5e2cc,hitActn,L1: request is a hit,0,214,cycle
23,561a6fc5e2d0,msgProc,L1: message is taken from the L1's processing queue to be processed,0,214,cycle
23,561a6fc5e2d0,wrCache,L1: New data written to cache,0,ffffffff,cycle
23,561a6fc5e2d0,wrCache,L1: New data written to cache,a,ffffffff,cycle
23,561a6fc5e2d0,hitActn,L1: request is a hit,0,fffffffe,cycle
23,561a6fc5e2d0,hitActn,L1: request is a hit,0,214,cycle
24,561a6fc5e2d4,msgProc,L1: message is taken from the L1's processing queue to be processed,0,214,cycle
24,561a6fc5e2d4,wrCache,L1: New data written to cache,0,ffffffff,cycle
24,561a6fc5e2d4,wrCache,L1: New data written to cache,a,ffffffff,cycle
24,561a6fc5e2d4,hitActn,L1: request is a hit,0,fffffffe,cycle
24,561a6fc5e2d4,hitActn,L1: request is a hit,0,214,cycle
25,561a6fc5e2d8,msgProc,L1: message is taken from the L1's processing queue to be processed,0,214,cycle
25,561a6fc5e2d8,wrCache,L1: New data written to cache,0,ffffffff,cycle
25,561a6fc5e2d8,wrCache,L1: New data written to cache,a,ffffffff,cycle
25,561a6fc5e2d8,hitActn,L1: request is a hit,0,fffffffe,cycle
25,561a6fc5e2d8,hitActn,L1: request is a hit,0,214,cycle
26,561a6fc5e2dc,msgProc,L1: message is taken from the L1's processing queue to be processed,0,214,cycle
26,561a6fc5e2dc,wrCache,L1: New data written to cache,0,ffffffff,cycle
26,561a6fc5e2dc,wrCache,L1: New data written to cache,a,ffffffff,cycle
26,561a6fc5e2dc,hitActn,L1: request is a hit,0,fffffffe,cycle
26,561a6fc5e2dc,hitActn,L1: request is a hit,0,214,cycle
27,561a6fc5e2e0,add2q_l,L1: The message is added to the processing queue from the core,0,216,cycle
27,561a6fc5e2e0,msgProc,L1: message is taken from the L1's processing queue to be processed,0,216,cycle
27,561a6fc5e2e0,wrCache,L1: New data written to cache,0,ffffffff,cycle
27,561a6fc5e2e0,wrCache,L1: New data written to cache,a,ffffffff,cycle
27,561a6fc5e2e0,hitActn,L1: request is a hit,0,fffffffe,cycle
27,561a6fc5e2e0,hitActn,L1: request is a hit,0,216,cycle
28,561a6fc5e2e4,add2q_l,L1: The message is added to the processing queue from the core,0,217,cycle
28,561a6fc5e2e4,msgProc,L1: message is taken from the L1's processing queue to be processed,0,217,cycle
28,561a6fc5e2e4,wrCache,L1: New data written to cache,0,ffffffff,cycle
28,561a6fc5e2e4,wrCache,L1: New data written to cache,a,ffffffff,cycle
28,561a6fc5e2e4,hitActn,L1: request is a hit,0,fffffffe,cycle
28,561a6fc5e2e4,hitActn,L1: request is a hit,0,217,cycle
29,561a6fc5e2e8,add2q_l,L1: The message is added to the processing queue from the core,0,218,cycle
29,561a6fc5e2e8,msgProc,L1: message is taken from the L1's processing queue to be processed,0,218,cycle
29,561a6fc5e2e8,wrCache,L1: New data written to cache,0,ffffffff,cycle
29,561a6fc5e2e8,wrCache,L1: New data written to cache,a,ffffffff,cycle
29,561a6fc5e2e8,hitActn,L1: request is a hit,0,fffffffe,cycle
29,561a6fc5e2e8,hitActn,L1: request is a hit,0,218,cycle
2a,561a6fc5e2ec,add2q_l,L1: The message is added to the processing queue from the core,0,219,cycle
2a,561a6fc5e2ec,msgProc,L1: message is taken from the L1's processing queue to be processed,0,219,cycle
2a,561a6fc5e2ec,wrCache,L1: New data written to cache,0,ffffffff,cycle
2a,561a6fc5e2ec,wrCache,L1: New data written to cache,a,ffffffff,cycle
2a,561a6fc5e2ec,hitActn,L1: request is a hit,0,fffffffe,cycle
2a,561a6fc5e2ec,hitActn,L1: request is a hit,0,219,cycle
2b,561a6fc5e2f0,add2q_l,L1: The message is added to the processing queue from the core,0,21a,cycle
2b,561a6fc5e2f0,msgProc,L1: message is taken from the L1's processing queue to be processed,0,21a,cycle
2b,561a6fc5e2f0,wrCache,L1: New data written to cache,0,ffffffff,cycle
2b,561a6fc5e2f0,wrCache,L1: New data written to cache,a,ffffffff,cycle
2b,561a6fc5e2f0,hitActn,L1: request is a hit,0,fffffffe,cycle
2b,561a6fc5e2f0,hitActn,L1: request is a hit,0,21a,cycle
2c,561a6fc5e2f4,add2q_l,L1: The message is added to the processing queue from the core,0,21b,cycle
2c,561a6fc5e2f4,msgProc,L1: message is taken from the L1's processing queue to be processed,0,21b,cycle
2c,561a6fc5e2f4,wrCache,L1: New data written to cache,0,ffffffff,cycle
2c,561a6fc5e2f4,wrCache,L1: New data written to cache,a,ffffffff,cycle
2c,561a6fc5e2f4,hitActn,L1: request is a hit,0,fffffffe,cycle
2c,561a6fc5e2f4,hitActn,L1: request is a hit,0,21b,cycle
2d,561a6fc5e2f8,add2q_l,L1: The message is added to the processing queue from the core,0,21c,cycle
2d,561a6fc5e2f8,msgProc,L1: message is taken from the L1's processing queue to be processed,0,21c,cycle
2d,561a6fc5e2f8,wrCache,L1: New data written to cache,0,ffffffff,cycle
2d,561a6fc5e2f8,wrCache,L1: New data written to cache,a,ffffffff,cycle
2d,561a6fc5e2f8,hitActn,L1: request is a hit,0,fffffffe,cycle
2d,561a6fc5e2f8,hitActn,L1: request is a hit,0,21c,cycle
2e,561a6fc5e2fc,add2q_l,L1: The message is added to the processing queue from the core,0,21d,cycle
2e,561a6fc5e2fc,msgProc,L1: message is taken from the L1's processing queue to be processed,0,21d,cycle
2e,561a6fc5e2fc,wrCache,L1: New data written to cache,0,ffffffff,cycle
2e,561a6fc5e2fc,wrCache,L1: New data written to cache,a,ffffffff,cycle
2e,561a6fc5e2fc,hitActn,L1: request is a hit,0,fffffffe,cycle
2e,561a6fc5e2fc,hitActn,L1: request is a hit,0,21d,cycle
2f,561a6fc5e300,add2q_l,L1: The message is added to the processing queue from the core,0,21e,cycle
2f,561a6fc5e300,Miss?  ,L1: Was the request a miss?,0,1,boolean
2f,561a6fc5e300,MSIredy,L1: Protocol determines message is now ready to be processed,0,21e,cycle
2f,561a6fc5e300,msgProc,L1: message is taken from the L1's processing queue to be processed,0,21e,cycle
2f,561a6fc5e300,add_req,L1: the core's controller processes the message -> miss -> sends req to LLC,0,21e,cycle
2f,561a6fc5e300,add_req,L1: the core's controller processes the message -> miss -> sends req to LLC,0,21f,cycle
30,561a6fc5e304,add2q_l,L1: The message is added to the processing queue from the core,0,21f,cycle
2f,561a6fc5e300,add2q_u,L1 receives message from the bus,0,220,cycle
