EventNum,Event,,,,,,,,,,,,,,
0,Load,,,,,,,,,,,,,,
1,Store,,,,,,,,,,,,,,
2,Replacement,,,,,,,,,,,,,,
3,Own_GetS,,,,,,,,,,,,,,
4,Own_GetM,,,,,,,,,,,,,,
5,Own_PutM,,,,,,,,,,,,,,
6,Other_GetS,,,,,,,,,,,,,,
7,Other_GetM,,,,,,,,,,,,,,
8,Other_PutM,,,,,,,,,,,,,,
9,OwnData,,,,,,,,,,,,,,
10,Invalidation,,,,,,,,,,,,,,
11,Silent_Inv,,,,,,,,,,,,,,
12,DataFromLowerInterface,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ActionNum,Action,,,,,,,,,,,,,,
0,Stall,,,,,,,,,,,,,,
1,Hit,,,,,,,,,,,,,,
2,GetS,,,,,,,,,,,,,,
3,GetM,,,,,,,,,,,,,,
4,PutM,,,,,,,,,,,,,,
5,Data2Req,,,,,,,,,,,,,,
6,Data2Both,,,,,,,,,,,,,,
7,SaveReq,,,,,,,,,,,,,,
8,Fault,,,,,,,,,,,,,,
9,SendInv,,,,,,,,,,,,,,
10,SaveData,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
StateNum,State,,,,,,,,,,,,,,
0,I,,,,,,,,,,,,,,
1,IS_ad,,,,,,,,,,,,,,
2,IS_d,,,,,,,,,,,,,,
3,IS_a,,,,,,,,,,,,,,
4,IS_dI,,,,,,,,,,,,,,
5,IM_ad,,,,,,,,,,,,,,
6,IM_d,,,,,,,,,,,,,,
7,IM_a,,,,,,,,,,,,,,
8,IM_dI,,,,,,,,,,,,,,
9,IM_dS,,,,,,,,,,,,,,
10,IM_dSI,,,,,,,,,,,,,,
11,S,,,,,,,,,,,,,,
12,SM_ad,,,,,,,,,,,,,,
13,SM_d,,,,,,,,,,,,,,
14,SM_a,,,,,,,,,,,,,,
15,SM_dI,,,,,,,,,,,,,,
16,SM_dS,,,,,,,,,,,,,,
17,SM_dSI,,,,,,,,,,,,,,
18,M,,,,,,,,,,,,,,
19,MI_ad,,,,,,,,,,,,,,
20,MI_a,,,,,,,,,,,,,,
21,MI_d,,,,,,,,,,,,,,
22,MS_d,,,,,,,,,,,,,,
23,MII_d,,,,,,,,,,,,,,
24,II_a,,,,,,,,,,,,,,
25,MSI_d,,,,,,,,,,,,,,
26,SI_d,,,,,,,,,,,,,,
27,MM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
State,stable,isDataValid,Load,Store,Replacement,Own_GetS,Own_GetM,Own_PutM,Other_GetS,Other_GetM,Other_PutM,OwnData,Invalidation,Silent_Inv,DataFromLowerInterface
I,1,0,GetS/IS_ad,GetM/IM_ad,,Fault/,Fault/,Fault/,,,,Fault/,,,Fault/
IS_ad,0,1,Stall/,Stall/,Stall/,IS_d,Fault/,Fault/,,,,IS_a,,,Fault/
IS_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,IS_dI,,Hit/S,IS_dI,,Fault/
IS_a,0,1,Stall/,Stall/,Stall/,Hit/S,Fault/,Fault/,,,Fault/,Fault/,IS_ad,,Fault/
IS_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/SendInv/I,,,Fault/
IM_ad,0,1,Stall/,Stall/,Stall/,Fault/,IM_d,Fault/,,,,IM_a,,,Fault/
IM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SendInv/SaveReq/IM_dS,SendInv/SaveReq/IM_dI,,Hit/M,SendInv/SaveReq/IM_dI,,Fault/
IM_a,0,1,Stall/,Stall/,Stall/,Fault/,Hit/M,Fault/,,,,Fault/,IM_ad,,Fault/
IM_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/MI_d,,,Fault/
